CacheSize? limite=   256 ; fallos=     2 ; referencias=200000
CacheSize? limite=   512 ; fallos=     4 ; referencias=200000
CacheSize? limite=   768 ; fallos=     6 ; referencias=200000
CacheSize? limite=  1024 ; fallos=     8 ; referencias=200000
CacheSize? limite=  1280 ; fallos=    10 ; referencias=200000
CacheSize? limite=  1536 ; fallos=    12 ; referencias=200000
CacheSize? limite=  1792 ; fallos=    14 ; referencias=200000
CacheSize? limite=  2048 ; fallos=    16 ; referencias=200000
CacheSize? limite=  2304 ; fallos=    18 ; referencias=200000
CacheSize? limite=  2560 ; fallos=    20 ; referencias=200000
CacheSize? limite=  2816 ; fallos=    22 ; referencias=200000
CacheSize? limite=  3072 ; fallos=    24 ; referencias=200000
CacheSize? limite=  3328 ; fallos=    26 ; referencias=200000
CacheSize? limite=  3584 ; fallos=    28 ; referencias=200000
CacheSize? limite=  3840 ; fallos=    30 ; referencias=200000
CacheSize? limite=  4096 ; fallos=    32 ; referencias=200000
CacheSize? limite=  4352 ; fallos=    34 ; referencias=200000
CacheSize? limite=  4608 ; fallos=    36 ; referencias=200000
CacheSize? limite=  4864 ; fallos=    38 ; referencias=200000
CacheSize? limite=  5120 ; fallos=    40 ; referencias=200000
CacheSize? limite=  5376 ; fallos=    42 ; referencias=200000
CacheSize? limite=  5632 ; fallos=    44 ; referencias=200000
CacheSize? limite=  5888 ; fallos=    46 ; referencias=200000
CacheSize? limite=  6144 ; fallos=    48 ; referencias=200000
CacheSize? limite=  6400 ; fallos=    50 ; referencias=200000
CacheSize? limite=  6656 ; fallos=    52 ; referencias=200000
CacheSize? limite=  6912 ; fallos=    54 ; referencias=200000
CacheSize? limite=  7168 ; fallos=    56 ; referencias=200000
CacheSize? limite=  7424 ; fallos=    58 ; referencias=200000
CacheSize? limite=  7680 ; fallos=    60 ; referencias=200000
CacheSize? limite=  7936 ; fallos=    62 ; referencias=200000
CacheSize? limite=  8192 ; fallos=    64 ; referencias=200000
CacheSize? limite=  8448 ; fallos=    66 ; referencias=200000
CacheSize? limite=  8704 ; fallos=    68 ; referencias=200000
CacheSize? limite=  8960 ; fallos=    70 ; referencias=200000
CacheSize? limite=  9216 ; fallos=    72 ; referencias=200000
CacheSize? limite=  9472 ; fallos=    74 ; referencias=200000
CacheSize? limite=  9728 ; fallos=    76 ; referencias=200000
CacheSize? limite=  9984 ; fallos=    78 ; referencias=200000
CacheSize? limite= 10240 ; fallos=    80 ; referencias=200000
CacheSize? limite= 10496 ; fallos=    82 ; referencias=200000
CacheSize? limite= 10752 ; fallos=    84 ; referencias=200000
CacheSize? limite= 11008 ; fallos=    86 ; referencias=200000
CacheSize? limite= 11264 ; fallos=    88 ; referencias=200000
CacheSize? limite= 11520 ; fallos=    90 ; referencias=200000
CacheSize? limite= 11776 ; fallos=    92 ; referencias=200000
CacheSize? limite= 12032 ; fallos=    94 ; referencias=200000
CacheSize? limite= 12288 ; fallos=    96 ; referencias=200000
CacheSize? limite= 12544 ; fallos=    98 ; referencias=200000
CacheSize? limite= 12800 ; fallos=   100 ; referencias=200000
CacheSize? limite= 13056 ; fallos=   102 ; referencias=200000
CacheSize? limite= 13312 ; fallos=   104 ; referencias=200000
CacheSize? limite= 13568 ; fallos=   106 ; referencias=200000
CacheSize? limite= 13824 ; fallos=   108 ; referencias=200000
CacheSize? limite= 14080 ; fallos=   110 ; referencias=200000
CacheSize? limite= 14336 ; fallos=   112 ; referencias=200000
CacheSize? limite= 14592 ; fallos=   114 ; referencias=200000
CacheSize? limite= 14848 ; fallos=   116 ; referencias=200000
CacheSize? limite= 15104 ; fallos=   118 ; referencias=200000
CacheSize? limite= 15360 ; fallos=   120 ; referencias=200000
CacheSize? limite= 15616 ; fallos=   122 ; referencias=200000
CacheSize? limite= 15872 ; fallos=   124 ; referencias=200000
CacheSize? limite= 16128 ; fallos=   126 ; referencias=200000
CacheSize? limite= 16384 ; fallos=   128 ; referencias=200000
CacheSize? limite= 16640 ; fallos=   130 ; referencias=200000
CacheSize? limite= 16896 ; fallos=   132 ; referencias=200000
CacheSize? limite= 17152 ; fallos=   134 ; referencias=200000
CacheSize? limite= 17408 ; fallos=   136 ; referencias=200000
CacheSize? limite= 17664 ; fallos=   138 ; referencias=200000
CacheSize? limite= 17920 ; fallos=   140 ; referencias=200000
CacheSize? limite= 18176 ; fallos=   142 ; referencias=200000
CacheSize? limite= 18432 ; fallos=   144 ; referencias=200000
CacheSize? limite= 18688 ; fallos=   146 ; referencias=200000
CacheSize? limite= 18944 ; fallos=   148 ; referencias=200000
CacheSize? limite= 19200 ; fallos=   150 ; referencias=200000
CacheSize? limite= 19456 ; fallos=   152 ; referencias=200000
CacheSize? limite= 19712 ; fallos=   154 ; referencias=200000
CacheSize? limite= 19968 ; fallos=   156 ; referencias=200000
CacheSize? limite= 20224 ; fallos=   158 ; referencias=200000
CacheSize? limite= 20480 ; fallos=   160 ; referencias=200000
CacheSize? limite= 20736 ; fallos=   162 ; referencias=200000
CacheSize? limite= 20992 ; fallos=   164 ; referencias=200000
CacheSize? limite= 21248 ; fallos=   166 ; referencias=200000
CacheSize? limite= 21504 ; fallos=   168 ; referencias=200000
CacheSize? limite= 21760 ; fallos=   170 ; referencias=200000
CacheSize? limite= 22016 ; fallos=   172 ; referencias=200000
CacheSize? limite= 22272 ; fallos=   174 ; referencias=200000
CacheSize? limite= 22528 ; fallos=   176 ; referencias=200000
CacheSize? limite= 22784 ; fallos=   178 ; referencias=200000
CacheSize? limite= 23040 ; fallos=   180 ; referencias=200000
CacheSize? limite= 23296 ; fallos=   182 ; referencias=200000
CacheSize? limite= 23552 ; fallos=   184 ; referencias=200000
CacheSize? limite= 23808 ; fallos=   186 ; referencias=200000
CacheSize? limite= 24064 ; fallos=   188 ; referencias=200000
CacheSize? limite= 24320 ; fallos=   190 ; referencias=200000
CacheSize? limite= 24576 ; fallos=   192 ; referencias=200000
CacheSize? limite= 24832 ; fallos=   194 ; referencias=200000
CacheSize? limite= 25088 ; fallos=   196 ; referencias=200000
CacheSize? limite= 25344 ; fallos=   198 ; referencias=200000
CacheSize? limite= 25600 ; fallos=   200 ; referencias=200000
CacheSize? limite= 25856 ; fallos=   202 ; referencias=200000
CacheSize? limite= 26112 ; fallos=   204 ; referencias=200000
CacheSize? limite= 26368 ; fallos=   206 ; referencias=200000
CacheSize? limite= 26624 ; fallos=   208 ; referencias=200000
CacheSize? limite= 26880 ; fallos=   210 ; referencias=200000
CacheSize? limite= 27136 ; fallos=   212 ; referencias=200000
CacheSize? limite= 27392 ; fallos=   214 ; referencias=200000
CacheSize? limite= 27648 ; fallos=   216 ; referencias=200000
CacheSize? limite= 27904 ; fallos=   218 ; referencias=200000
CacheSize? limite= 28160 ; fallos=   220 ; referencias=200000
CacheSize? limite= 28416 ; fallos=   222 ; referencias=200000
CacheSize? limite= 28672 ; fallos=   224 ; referencias=200000
CacheSize? limite= 28928 ; fallos=   226 ; referencias=200000
CacheSize? limite= 29184 ; fallos=   228 ; referencias=200000
CacheSize? limite= 29440 ; fallos=   230 ; referencias=200000
CacheSize? limite= 29696 ; fallos=   232 ; referencias=200000
CacheSize? limite= 29952 ; fallos=   234 ; referencias=200000
CacheSize? limite= 30208 ; fallos=   236 ; referencias=200000
CacheSize? limite= 30464 ; fallos=   238 ; referencias=200000
CacheSize? limite= 30720 ; fallos=   240 ; referencias=200000
CacheSize? limite= 30976 ; fallos=   242 ; referencias=200000
CacheSize? limite= 31232 ; fallos=   244 ; referencias=200000
CacheSize? limite= 31488 ; fallos=   246 ; referencias=200000
CacheSize? limite= 31744 ; fallos=   248 ; referencias=200000
CacheSize? limite= 32000 ; fallos=   250 ; referencias=200000
CacheSize? limite= 32256 ; fallos=   252 ; referencias=200000
CacheSize? limite= 32512 ; fallos=   254 ; referencias=200000
CacheSize? limite= 32768 ; fallos=   256 ; referencias=200000
CacheSize? limite= 33024 ; fallos=   258 ; referencias=200000
CacheSize? limite= 33280 ; fallos=   260 ; referencias=200000
CacheSize? limite= 33536 ; fallos=   262 ; referencias=200000
CacheSize? limite= 33792 ; fallos=   264 ; referencias=200000
CacheSize? limite= 34048 ; fallos=   266 ; referencias=200000
CacheSize? limite= 34304 ; fallos=   268 ; referencias=200000
CacheSize? limite= 34560 ; fallos=   270 ; referencias=200000
CacheSize? limite= 34816 ; fallos=   272 ; referencias=200000
CacheSize? limite= 35072 ; fallos=   274 ; referencias=200000
CacheSize? limite= 35328 ; fallos=   276 ; referencias=200000
CacheSize? limite= 35584 ; fallos=   278 ; referencias=200000
CacheSize? limite= 35840 ; fallos=   280 ; referencias=200000
CacheSize? limite= 36096 ; fallos=   282 ; referencias=200000
CacheSize? limite= 36352 ; fallos=   284 ; referencias=200000
CacheSize? limite= 36608 ; fallos=   286 ; referencias=200000
CacheSize? limite= 36864 ; fallos=   288 ; referencias=200000
CacheSize? limite= 37120 ; fallos=   290 ; referencias=200000
CacheSize? limite= 37376 ; fallos=   292 ; referencias=200000
CacheSize? limite= 37632 ; fallos=   294 ; referencias=200000
CacheSize? limite= 37888 ; fallos=   296 ; referencias=200000
CacheSize? limite= 38144 ; fallos=   298 ; referencias=200000
CacheSize? limite= 38400 ; fallos=   300 ; referencias=200000
CacheSize? limite= 38656 ; fallos=   302 ; referencias=200000
CacheSize? limite= 38912 ; fallos=   304 ; referencias=200000
CacheSize? limite= 39168 ; fallos=   306 ; referencias=200000
CacheSize? limite= 39424 ; fallos=   308 ; referencias=200000
CacheSize? limite= 39680 ; fallos=   310 ; referencias=200000
CacheSize? limite= 39936 ; fallos=   312 ; referencias=200000
CacheSize? limite= 40192 ; fallos=   314 ; referencias=200000
CacheSize? limite= 40448 ; fallos=   316 ; referencias=200000
CacheSize? limite= 40704 ; fallos=   318 ; referencias=200000
CacheSize? limite= 40960 ; fallos=   320 ; referencias=200000
CacheSize? limite= 41216 ; fallos=   322 ; referencias=200000
CacheSize? limite= 41472 ; fallos=   324 ; referencias=200000
CacheSize? limite= 41728 ; fallos=   326 ; referencias=200000
CacheSize? limite= 41984 ; fallos=   328 ; referencias=200000
CacheSize? limite= 42240 ; fallos=   330 ; referencias=200000
CacheSize? limite= 42496 ; fallos=   332 ; referencias=200000
CacheSize? limite= 42752 ; fallos=   334 ; referencias=200000
CacheSize? limite= 43008 ; fallos=   336 ; referencias=200000
CacheSize? limite= 43264 ; fallos=   338 ; referencias=200000
CacheSize? limite= 43520 ; fallos=   340 ; referencias=200000
CacheSize? limite= 43776 ; fallos=   342 ; referencias=200000
CacheSize? limite= 44032 ; fallos=   344 ; referencias=200000
CacheSize? limite= 44288 ; fallos=   346 ; referencias=200000
CacheSize? limite= 44544 ; fallos=   348 ; referencias=200000
CacheSize? limite= 44800 ; fallos=   350 ; referencias=200000
CacheSize? limite= 45056 ; fallos=   352 ; referencias=200000
CacheSize? limite= 45312 ; fallos=   354 ; referencias=200000
CacheSize? limite= 45568 ; fallos=   356 ; referencias=200000
CacheSize? limite= 45824 ; fallos=   358 ; referencias=200000
CacheSize? limite= 46080 ; fallos=   360 ; referencias=200000
CacheSize? limite= 46336 ; fallos=   362 ; referencias=200000
CacheSize? limite= 46592 ; fallos=   364 ; referencias=200000
CacheSize? limite= 46848 ; fallos=   366 ; referencias=200000
CacheSize? limite= 47104 ; fallos=   368 ; referencias=200000
CacheSize? limite= 47360 ; fallos=   370 ; referencias=200000
CacheSize? limite= 47616 ; fallos=   372 ; referencias=200000
CacheSize? limite= 47872 ; fallos=   374 ; referencias=200000
CacheSize? limite= 48128 ; fallos=   376 ; referencias=200000
CacheSize? limite= 48384 ; fallos=   378 ; referencias=200000
CacheSize? limite= 48640 ; fallos=   380 ; referencias=200000
CacheSize? limite= 48896 ; fallos=   382 ; referencias=200000
CacheSize? limite= 49152 ; fallos=   384 ; referencias=200000
CacheSize? limite= 49408 ; fallos=   386 ; referencias=200000
CacheSize? limite= 49664 ; fallos=   388 ; referencias=200000
CacheSize? limite= 49920 ; fallos=   390 ; referencias=200000
CacheSize? limite= 50176 ; fallos=   392 ; referencias=200000
CacheSize? limite= 50432 ; fallos=   394 ; referencias=200000
CacheSize? limite= 50688 ; fallos=   396 ; referencias=200000
CacheSize? limite= 50944 ; fallos=   398 ; referencias=200000
CacheSize? limite= 51200 ; fallos=   400 ; referencias=200000
CacheSize? limite= 51456 ; fallos=   402 ; referencias=200000
CacheSize? limite= 51712 ; fallos=   404 ; referencias=200000
CacheSize? limite= 51968 ; fallos=   406 ; referencias=200000
CacheSize? limite= 52224 ; fallos=   408 ; referencias=200000
CacheSize? limite= 52480 ; fallos=   410 ; referencias=200000
CacheSize? limite= 52736 ; fallos=   412 ; referencias=200000
CacheSize? limite= 52992 ; fallos=   414 ; referencias=200000
CacheSize? limite= 53248 ; fallos=   416 ; referencias=200000
CacheSize? limite= 53504 ; fallos=   418 ; referencias=200000
CacheSize? limite= 53760 ; fallos=   420 ; referencias=200000
CacheSize? limite= 54016 ; fallos=   422 ; referencias=200000
CacheSize? limite= 54272 ; fallos=   424 ; referencias=200000
CacheSize? limite= 54528 ; fallos=   426 ; referencias=200000
CacheSize? limite= 54784 ; fallos=   428 ; referencias=200000
CacheSize? limite= 55040 ; fallos=   430 ; referencias=200000
CacheSize? limite= 55296 ; fallos=   432 ; referencias=200000
CacheSize? limite= 55552 ; fallos=   434 ; referencias=200000
CacheSize? limite= 55808 ; fallos=   436 ; referencias=200000
CacheSize? limite= 56064 ; fallos=   438 ; referencias=200000
CacheSize? limite= 56320 ; fallos=   440 ; referencias=200000
CacheSize? limite= 56576 ; fallos=   442 ; referencias=200000
CacheSize? limite= 56832 ; fallos=   444 ; referencias=200000
CacheSize? limite= 57088 ; fallos=   446 ; referencias=200000
CacheSize? limite= 57344 ; fallos=   448 ; referencias=200000
CacheSize? limite= 57600 ; fallos=   450 ; referencias=200000
CacheSize? limite= 57856 ; fallos=   452 ; referencias=200000
CacheSize? limite= 58112 ; fallos=   454 ; referencias=200000
CacheSize? limite= 58368 ; fallos=   456 ; referencias=200000
CacheSize? limite= 58624 ; fallos=   458 ; referencias=200000
CacheSize? limite= 58880 ; fallos=   460 ; referencias=200000
CacheSize? limite= 59136 ; fallos=   462 ; referencias=200000
CacheSize? limite= 59392 ; fallos=   464 ; referencias=200000
CacheSize? limite= 59648 ; fallos=   466 ; referencias=200000
CacheSize? limite= 59904 ; fallos=   468 ; referencias=200000
CacheSize? limite= 60160 ; fallos=   470 ; referencias=200000
CacheSize? limite= 60416 ; fallos=   472 ; referencias=200000
CacheSize? limite= 60672 ; fallos=   474 ; referencias=200000
